date,OPHPBS
1984-01-01,57.200
1984-04-01,57.705
1984-07-01,57.998
1984-10-01,58.108
1985-01-01,58.308
1985-04-01,58.583
1985-07-01,59.537
1985-10-01,59.754
1986-01-01,60.313
1986-04-01,60.695
1986-07-01,61.039
1986-10-01,60.866
1987-01-01,60.591
1987-04-01,60.975
1987-07-01,61.068
1987-10-01,61.557
1988-01-01,61.769
1988-04-01,61.862
1988-07-01,62.045
1988-10-01,62.181
1989-01-01,62.301
1989-04-01,62.629
1989-07-01,62.882
1989-10-01,62.946
1990-01-01,63.605
1990-04-01,64.208
1990-07-01,64.568
1990-10-01,63.988
1991-01-01,64.159
1991-04-01,65.185
1991-07-01,65.607
1991-10-01,66.033
1992-01-01,67.399
1992-04-01,67.892
1992-07-01,68.501
1992-10-01,68.860
1993-01-01,68.328
1993-04-01,68.033
1993-07-01,68.019
1993-10-01,68.608
1994-01-01,68.908
1994-04-01,68.828
1994-07-01,68.446
1994-10-01,69.015
1995-01-01,68.712
1995-04-01,68.884
1995-07-01,68.944
1995-10-01,69.577
1996-01-01,70.247
1996-04-01,71.176
1996-07-01,71.478
1996-10-01,71.539
1997-01-01,71.358
1997-04-01,72.251
1997-07-01,72.916
1997-10-01,73.270
1998-01-01,73.718
1998-04-01,74.125
1998-07-01,75.190
1998-10-01,75.718
1999-01-01,76.541
1999-04-01,76.697
1999-07-01,77.338
1999-10-01,78.552
2000-01-01,78.341
2000-04-01,80.055
2000-07-01,80.079
2000-10-01,80.978
2001-01-01,80.717
2001-04-01,81.985
2001-07-01,82.427
2001-10-01,83.528
2002-01-01,85.115
2002-04-01,85.386
2002-07-01,86.150
2002-10-01,85.995
2003-01-01,86.878
2003-04-01,88.310
2003-07-01,89.957
2003-10-01,90.664
2004-01-01,90.969
2004-04-01,91.616
2004-07-01,91.999
2004-10-01,92.635
2005-01-01,93.501
2005-04-01,93.238
2005-07-01,94.018
2005-10-01,94.168
2006-01-01,94.796
2006-04-01,94.744
2006-07-01,94.242
2006-10-01,94.839
2007-01-01,94.862
2007-04-01,95.639
2007-07-01,96.721
2007-10-01,97.007
2008-01-01,96.150
2008-04-01,97.074
2008-07-01,97.317
2008-10-01,96.766
2009-01-01,97.498
2009-04-01,99.381
2009-07-01,100.994
