DATE,CPILFESL
1958-01-01,1.81363
1958-04-01,1.80544
1958-07-01,1.35213
1958-10-01,2.24792
1959-01-01,1.78126
1959-04-01,2.22545
1959-07-01,1.76355
1959-10-01,2.63740
1960-01-01,1.75738
1960-04-01,0.86275
1960-07-01,-0.43114
1960-10-01,2.17707
1961-01-01,0.85714
1961-04-01,1.29521
1961-07-01,1.72903
1961-10-01,1.28547
1962-01-01,0.84615
1962-04-01,1.71246
1962-07-01,1.27320
1962-10-01,0.83810
1963-01-01,0.84900
1963-04-01,1.68001
1963-07-01,1.68554
1963-10-01,2.07825
1964-01-01,2.07993
1964-04-01,0.40973
1964-07-01,0.83058
1964-10-01,2.06278
1965-01-01,1.63524
1965-04-01,1.22512
1965-07-01,0.40347
1965-10-01,2.03557
1966-01-01,2.02526
1966-04-01,4.00804
1966-07-01,3.57677
1966-10-01,3.93312
1967-01-01,2.34378
1967-04-01,3.10769
1967-07-01,4.23260
1967-10-01,4.17693
1968-01-01,4.89710
1968-04-01,4.08372
1968-07-01,5.51231
1968-10-01,5.80445
1969-01-01,5.35957
1969-04-01,6.33810
1969-07-01,5.54733
1969-10-01,5.47145
1970-01-01,6.07099
1970-04-01,7.30369
1970-07-01,5.22128
1970-10-01,6.43937
1971-01-01,3.81255
1971-04-01,4.08653
1971-07-01,3.43125
1971-10-01,2.16325
1972-01-01,3.38380
1972-04-01,3.04573
1972-07-01,3.02272
1972-10-01,2.11049
1973-01-01,2.98432
1973-04-01,4.14806
1973-07-01,4.09674
1973-10-01,6.65287
1974-01-01,6.25620
1974-04-01,10.31614
1974-07-01,13.51853
1974-10-01,11.53688
1975-01-01,8.43751
1975-04-01,6.27313
1975-07-01,5.19652
1975-10-01,6.83015
1976-01-01,7.42072
1976-04-01,5.42216
1976-07-01,6.49809
1976-10-01,5.48894
1977-01-01,6.53575
1977-04-01,6.42408
1977-07-01,5.67915
1977-10-01,5.38152
1978-01-01,6.99730
1978-04-01,8.11475
1978-07-01,8.55870
1978-10-01,8.77605
1979-01-01,9.16635
1979-04-01,9.33405
1979-07-01,10.22415
1979-10-01,11.93584
1980-01-01,14.52339
1980-04-01,13.18244
1980-07-01,5.94070
1980-10-01,12.25744
1981-01-01,9.26599
1981-04-01,8.75107
1981-07-01,13.29371
1981-10-01,7.70782
1982-01-01,4.87224
1982-04-01,7.33306
1982-07-01,6.65296
1982-10-01,1.37084
1983-01-01,2.45819
1983-04-01,3.93027
1983-07-01,4.95603
1983-10-01,5.15967
1984-01-01,5.48313
1984-04-01,4.89826
1984-07-01,4.96426
1984-10-01,4.02898
1985-01-01,4.35689
1985-04-01,4.19227
1985-07-01,3.53687
1985-10-01,4.59202
1986-01-01,4.30112
1986-04-01,3.31245
1986-07-01,3.75487
1986-10-01,3.83445
1987-01-01,3.22375
1987-04-01,4.78912
1987-07-01,3.72307
1987-10-01,4.57898
1988-01-01,3.86800
1988-04-01,4.80662
1988-07-01,4.43057
1988-10-01,4.80582
1989-01-01,4.22285
1989-04-01,4.28475
1989-07-01,3.82576
1989-10-01,4.80989
1990-01-01,5.05413
1990-04-01,5.18739
1990-07-01,5.90417
1990-10-01,4.56578
1991-01-01,5.75272
1991-04-01,3.59917
1991-07-01,4.31813
1991-10-01,3.71484
1992-01-01,3.49921
1992-04-01,3.46614
1992-07-01,3.07944
1992-10-01,3.58979
1993-01-01,3.47016
1993-04-01,3.35335
1993-07-01,2.36505
1993-10-01,3.13181
1994-01-01,2.59124
1994-04-01,2.74390
1994-07-01,2.98245
1994-10-01,2.53808
1995-01-01,3.35841
1995-04-01,3.24833
1995-07-01,2.64656
1995-10-01,2.79123
1996-01-01,2.69142
1996-04-01,2.35114
1996-07-01,2.57834
1996-10-01,2.55943
1997-01-01,2.30766
1997-04-01,2.53094
1997-07-01,1.72945
1997-10-01,2.27018
1998-01-01,2.41097
1998-04-01,2.24384
1998-07-01,2.38316
1998-10-01,2.21811
1999-01-01,1.74836
1999-04-01,1.89492
1999-07-01,2.10927
1999-10-01,2.24846
2000-01-01,2.60807
2000-04-01,2.51592
2000-07-01,2.64756
2000-10-01,2.41163
2001-01-01,2.90310
2001-04-01,2.45323
2001-07-01,2.72113
2001-10-01,2.63465
2002-01-01,2.19224
2002-04-01,2.04134
2002-07-01,2.10011
2002-10-01,1.80983
2003-01-01,1.31980
2003-04-01,0.69147
2003-07-01,1.58813
2003-10-01,1.03190
2004-01-01,1.91844
2004-04-01,2.52127
2004-07-01,1.69642
2004-10-01,2.42833
2005-01-01,2.47985
2005-04-01,1.86632
2005-07-01,1.32891
2005-10-01,2.64267
2006-01-01,2.49574
2006-04-01,3.26012
2006-07-01,2.71757
2006-10-01,2.05693
2007-01-01,2.33735
2007-04-01,1.93741
2007-07-01,2.05691
2007-10-01,2.80521
2008-01-01,2.63994
2008-04-01,1.73420
2008-07-01,2.56695
2008-10-01,0.97866
2009-01-01,1.67478
2009-04-01,2.03342
2009-07-01,1.19142
2009-10-01,2.04070
