DATE,GDPC1
1947-04-01,-0.45516
1947-07-01,-0.41423
1947-10-01,6.25045
1948-01-01,5.83272
1948-04-01,6.46173
1948-07-01,2.22930
1948-10-01,0.41293
1949-01-01,-5.50122
1949-04-01,-1.33723
1949-07-01,4.37424
1949-10-01,-3.59531
1950-01-01,15.63303
1950-04-01,11.90958
1950-07-01,15.13200
1950-10-01,7.63823
1951-01-01,5.43489
1951-04-01,6.88337
1951-07-01,8.15683
1951-10-01,0.88501
1952-01-01,4.21441
1952-04-01,0.82440
1952-07-01,2.88845
1952-10-01,12.92018
1953-01-01,7.37305
1953-04-01,3.11213
1953-07-01,-2.25815
1953-10-01,-6.11105
1954-01-01,-1.86274
1954-04-01,0.42699
1954-07-01,4.51076
1954-10-01,7.72365
1955-01-01,11.26069
1955-04-01,6.46070
1955-07-01,5.33186
1955-10-01,2.40943
1956-01-01,-1.55653
1956-04-01,3.29326
1956-07-01,-0.32954
1956-10-01,6.48340
1957-01-01,2.57263
1957-04-01,-0.88379
1957-07-01,3.87138
1957-10-01,-4.12425
1958-01-01,-10.49339
1958-04-01,2.61702
1958-07-01,9.15313
1958-10-01,9.24961
1959-01-01,7.36429
1959-04-01,9.61278
1959-07-01,-0.77477
1959-10-01,1.57424
1960-01-01,8.81832
1960-04-01,-1.52699
1960-07-01,1.00154
1960-10-01,-4.87717
1961-01-01,2.71687
1961-04-01,7.35864
1961-07-01,6.61608
1961-10-01,8.02455
1962-01-01,7.14812
1962-04-01,4.28054
1962-07-01,3.78904
1962-10-01,1.54775
1963-01-01,4.43408
1963-04-01,5.17457
1963-07-01,7.73933
1963-10-01,2.84738
1964-01-01,8.55324
1964-04-01,4.73135
1964-07-01,5.39877
1964-10-01,1.40981
1965-01-01,9.75263
1965-04-01,5.42579
1965-07-01,8.04807
1965-10-01,9.31606
1966-01-01,9.76140
1966-04-01,1.63401
1966-07-01,2.84356
1966-10-01,3.41193
1967-01-01,3.65138
1967-04-01,0.35130
1967-07-01,3.44116
1967-10-01,3.20283
1968-01-01,8.04364
1968-04-01,6.69553
1968-07-01,2.87159
1968-10-01,1.77892
1969-01-01,6.16890
1969-04-01,1.28534
1969-07-01,2.49079
1969-10-01,-1.74362
1970-01-01,-0.71318
1970-04-01,0.70470
1970-07-01,3.53020
1970-10-01,-4.13294
1971-01-01,10.56377
1971-04-01,2.27719
1971-07-01,3.12236
1971-10-01,1.16565
1972-01-01,7.10739
1972-04-01,9.16182
1972-07-01,3.66408
1972-10-01,6.58963
1973-01-01,9.72987
1973-04-01,4.50938
1973-07-01,-2.18181
1973-10-01,3.71521
1974-01-01,-3.33844
1974-04-01,1.05454
1974-07-01,-3.89272
1974-10-01,-1.60210
1975-01-01,-4.86785
1975-04-01,3.07184
1975-07-01,6.56106
1975-10-01,5.35012
1976-01-01,8.93413
1976-04-01,3.01433
1976-07-01,2.02982
1976-10-01,2.99066
1977-01-01,4.62730
1977-04-01,7.77334
1977-07-01,7.01408
1977-10-01,0.03988
1978-01-01,1.39334
1978-04-01,15.25702
1978-07-01,3.88922
1978-10-01,5.33107
1979-01-01,0.79046
1979-04-01,0.48471
1979-07-01,2.86513
1979-10-01,1.03456
1980-01-01,1.28945
1980-04-01,-8.19382
1980-07-01,-0.60741
1980-10-01,7.34569
1981-01-01,8.19096
1981-04-01,-2.92824
1981-07-01,4.56451
1981-10-01,-4.69812
1982-01-01,-6.74437
1982-04-01,2.16863
1982-07-01,-1.44033
1982-10-01,0.38829
1983-01-01,5.20843
1983-04-01,9.02454
1983-07-01,7.75397
1983-10-01,8.16679
1984-01-01,7.86896
1984-04-01,6.96365
1984-07-01,3.91690
1984-10-01,3.17645
1985-01-01,3.95550
1985-04-01,3.64623
1985-07-01,6.17661
1985-10-01,2.98808
1986-01-01,3.69113
1986-04-01,1.83031
1986-07-01,4.01062
1986-10-01,2.06591
1987-01-01,2.78642
1987-04-01,4.46282
1987-07-01,3.61026
1987-10-01,6.55063
1988-01-01,2.24147
1988-04-01,5.25120
1988-07-01,2.30355
1988-10-01,5.26508
1989-01-01,4.01191
1989-04-01,3.13335
1989-07-01,2.97315
1989-10-01,0.84607
1990-01-01,4.35576
1990-04-01,1.54389
1990-07-01,0.09797
1990-10-01,-3.42068
1991-01-01,-1.88151
1991-04-01,3.09215
1991-07-01,1.91607
1991-10-01,1.73839
1992-01-01,4.70142
1992-04-01,4.38235
1992-07-01,3.87127
1992-10-01,3.98728
1993-01-01,0.74772
1993-04-01,2.36985
1993-07-01,1.94461
1993-10-01,5.30566
1994-01-01,3.90484
1994-04-01,5.42862
1994-07-01,2.35305
1994-10-01,4.51381
1995-01-01,1.36648
1995-04-01,1.39344
1995-07-01,3.41158
1995-10-01,2.82676
1996-01-01,2.61757
1996-04-01,6.92417
1996-07-01,3.68311
1996-10-01,4.20487
1997-01-01,3.03527
1997-04-01,5.99137
1997-07-01,5.05882
1997-10-01,3.09122
1998-01-01,3.93763
1998-04-01,3.86076
1998-07-01,5.20093
1998-10-01,6.51284
1999-01-01,3.18168
1999-04-01,3.28366
1999-07-01,5.00430
1999-10-01,6.88171
2000-01-01,1.16034
2000-04-01,7.48351
2000-07-01,0.48254
2000-10-01,2.26520
2001-01-01,-1.13732
2001-04-01,2.11410
2001-07-01,-1.26712
2001-10-01,1.10974
2002-01-01,3.66665
2002-04-01,2.19947
2002-07-01,1.94361
2002-10-01,0.25309
2003-01-01,2.06808
2003-04-01,3.69398
2003-07-01,6.64458
2003-10-01,4.64819
2004-01-01,2.29371
2004-04-01,2.92027
2004-07-01,3.61988
2004-10-01,3.44408
2005-01-01,4.24111
2005-04-01,2.08265
2005-07-01,3.34735
2005-10-01,2.27733
2006-01-01,4.77746
2006-04-01,1.19441
2006-07-01,0.35626
2006-10-01,3.11876
2007-01-01,0.24726
2007-04-01,3.04960
2007-07-01,2.68126
2007-10-01,1.42464
